grid_id,geometry,公交站2020,商业2020,地铁站2020,教育2020,文化2020,road_weight
0,"POLYGON ((-9788992.443525324 5155881, -9789050.041920388 5155827.15545003, -9789056.467764562 5155821.148393969, -9789080.315753443 5155798.854400275, -9789080.31612372 5155798.853991148, -9789080.316453064 5155798.853581832, -9789080.33834446 5155798.828539667, -9789080.338509133 5155798.828335009, -9789227.454556098 5155630.184916964, -9789227.456325367 5155630.182912035, -9789322.827006854 5155630.623952008, -9789340.647423416 5155630.706256066, -9789404.636729835 5155631.001516916, -9789404.63667969 5155631.003529804, -9789404.573574843 5155881, -9788992.443525324 5155881))",0,0,0,0,0,6233.109
1,"POLYGON ((-9789404.573574843 5155881, -9789404.457671894 5156340.161687619, -9789404.447348403 5156381, -9788948 5156381, -9788948 5155922.546552907, -9788970.667832615 5155901.3565112, -9788992.443525324 5155881, -9789404.573574843 5155881))",0,0,0,0,0,21041.989
2,"POLYGON ((-9788948 5156881, -9788948 5156381, -9789404.447348403 5156381, -9789404.341613717 5156799.271917585, -9789404.341603104 5156799.336838137, -9789404.32094464 5156881, -9788948 5156881))",0,0,0,0,0,33367.096
3,"POLYGON ((-9788948 5157381, -9788948 5156881, -9789404.32094464 5156881, -9789404.281311844 5157037.668948729, -9789404.1943572 5157381, -9788948 5157381))",0,0,0,0,0,19142.24
4,"POLYGON ((-9788948 5157881, -9788948 5157381, -9789404.1943572 5157381, -9789404.093350763 5157779.813043048, -9789404.80449978 5157875.054027072, -9789404.804527739 5157875.056862658, -9789404.84890266 5157881, -9788948 5157881))",0,0,0,0,0,10560.841
5,"POLYGON ((-9788948 5158381, -9788948 5157881, -9789404.84890266 5157881, -9789405.550192602 5157974.923828315, -9789405.89001291 5158015.140106472, -9789406.676520731 5158089.294337326, -9789407.264319513 5158140.6488122605, -9789407.738315342 5158197.241776881, -9789407.862663575 5158212.0867600115, -9789408.363071043 5158267.320958247, -9789409.11679865 5158330.738631238, -9789409.656166514 5158381, -9788948 5158381))",0,0,0,0,0,19372.05
6,"POLYGON ((-9788948 5158881, -9788948 5158381, -9789409.656166514 5158381, -9789409.842911422 5158398.401953763, -9789410.492820464 5158451.418764032, -9789410.713185517 5158465.799332452, -9789411.142290715 5158493.799953539, -9789411.51253905 5158548.870779405, -9789412.085228601 5158601.748249967, -9789412.901319565 5158664.075272575, -9789414.077405708 5158754.202626843, -9789414.15525565 5158777.455835834, -9789414.237450056 5158786.325082874, -9789414.254471872 5158790.656793091, -9789414.664743686 5158830.728846929, -9789415.16398064 5158881, -9788948 5158881))",0,0,0,0,0,23247.311
7,"POLYGON ((-9788948 5159381, -9788948 5158881, -9789415.16398064 5158881, -9789415.261712478 5158890.841203053, -9789415.471681492 5158912.9529087255, -9789416.170728447 5158982.987371313, -9789416.218920963 5158986.583448376, -9789416.237835813 5158987.997235356, -9789416.86944938 5159035.1690056715, -9789416.684389167 5159111.36921294, -9789416.655095344 5159123.135806617, -9789416.487464549 5159151.723464905, -9789416.890288819 5159189.8405408, -9789417.654131193 5159251.969777875, -9789418.316345913 5159304.099352317, -9789418.316344222 5159304.099722205, -9789418.316342903 5159304.1000099, -9789418.994516127 5159374.222993132, -9789419.056426547 5159381, -9788948 5159381))",0,0,0,0,0,16268.563
8,"POLYGON ((-9788948 5159881, -9788948 5159381, -9789419.056426547 5159381, -9789419.581016127 5159438.424052149, -9789420.265327234 5159504.508352151, -9789422.451518362 5159554.702295969, -9789423.070562443 5159610.914715807, -9789423.38138933 5159653.028254942, -9789423.843378872 5159730.136452207, -9789424.369267391 5159775.383532973, -9789424.815564077 5159813.86497113, -9789425.040629027 5159833.5908414945, -9789425.644011114 5159881, -9788948 5159881))",0,0,0,0,0,28699.144
9,"POLYGON ((-9788948 5160381, -9788948 5159881, -9789425.644011114 5159881, -9789426.028477902 5159911.208465477, -9789427.447525805 5159973.370074886, -9789428.125810534 5159998.908256824, -9789428.129094295 5159999.031826456, -9789428.275311945 5160004.537787943, -9789424.068707148 5160004.796203318, -9789417.357948026 5160005.208464801, -9789410.750043204 5160005.614414065, -9789402.652359618 5160006.111885286, -9789396.332865106 5160006.50012465, -9789387.77034625 5160007.026142005, -9789380.622358603 5160007.4652137635, -9789372.375858212 5160007.971754763, -9789363.785769455 5160008.499472899, -9789355.539226227 5160009.006040235, -9789346.697466714 5160009.549186074, -9789342.877905423 5160009.78378772, -9789341.121446807 5160009.824215048, -9789334.798146473 5160009.96976695, -9789326.388866857 5160010.163341165, -9789322.03851074 5160010.26345947, -9789318.159991877 5160010.352727345, -9789313.593559254 5160010.457843943, -9789308.550456598 5160010.573907299, -9789302.544594249 5160010.712109459, -9789302.236716866 5160012.981156697, -9789301.94163732 5160015.156302886, -9789301.551658884 5160018.031030876, -9789300.304668333 5160027.222985693, -9789299.703408584 5160031.252385347, -9789294.974419516 5160062.955775436, -9789293.570297256 5160072.369083515, -9789288.100339726 5160104.859055983, -9789285.876006512 5160118.070895323, -9789279.194765942 5160152.787279896, -9789279.19438984 5160152.7889222875, -9789276.94681141 5160164.4676866075, -9789273.87485107 5160179.29223803, -9789273.874767095 5160179.292689778, -9789273.874682928 5160179.293182628, -9789267.33275202 5160210.863043996, -9789264.794077853 5160221.914973228, -9789262.87660216 5160230.262623281, -9789256.484016167 5160258.092607421, -9789252.008775758 5160275.7197098, -9789244.953307103 5160303.509672632, -9789232.60051667 5160348.924486489, -9789228.125644725 5160363.575802281, -9789228.12506215 5160363.577813688, -9789222.80388674 5160381, -9788948 5160381))",0,0,0,0,0,32564.547
