ride_id,rideable_type,start_time,end_time,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,starttime,week_start
585D186D28D91B64,classic_bike,2020/12/28 0:02,2020/12/28 0:08,State St & 33rd St,13216,Rhodes Ave & 32nd St,13215,41.834734,-87.625813,41.836208,-87.613533,member,2020-12-28 00:02:00,2020-12-28
363D0B64F8A1CC87,electric_bike,2020/12/28 0:02,2020/12/28 0:15,,,,,41.91,-87.69,41.92,-87.72,member,2020-12-28 00:02:00,2020-12-28
77E215A5B740FC7D,electric_bike,2020/12/28 0:10,2020/12/28 0:11,Sheffield Ave & Waveland Ave,TA1307000126,Sheffield Ave & Waveland Ave,TA1307000126,41.94917317,-87.65438283,41.949256,-87.65440033,casual,2020-12-28 00:10:00,2020-12-28
E285F4A6B938DE81,electric_bike,2020/12/28 0:10,2020/12/28 0:28,Fairbanks Ct & Grand Ave,TA1305000003,Clark St & Lake St,KA1503000012,41.89194217,-87.6205155,41.88511767,-87.62992817,member,2020-12-28 00:10:00,2020-12-28
7CF03B03FFDFA5F8,classic_bike,2020/12/28 0:12,2020/12/28 0:18,Broadway & Belmont Ave,13277,Broadway & Sheridan Rd,13323,41.940106,-87.645451,41.952833,-87.649993,member,2020-12-28 00:12:00,2020-12-28
00335589D1E2422B,electric_bike,2020/12/28 0:14,2020/12/28 0:26,Sheffield Ave & Waveland Ave,TA1307000126,Lake Shore Dr & Belmont Ave,TA1309000049,41.94925967,-87.6543515,41.94079967,-87.63919133,casual,2020-12-28 00:14:00,2020-12-28
852C84A390EC2F12,classic_bike,2020/12/28 0:14,2020/12/28 0:26,Marine Dr & Ainslie St,KA1504000171,Clark St & Winnemac Ave,TA1309000035,41.9716,-87.650154,41.97334764,-87.66785547,member,2020-12-28 00:14:00,2020-12-28
E27FED73C6C3E23A,electric_bike,2020/12/28 0:15,2020/12/28 0:16,Sheffield Ave & Waveland Ave,TA1307000126,,,41.94925367,-87.65443267,41.95,-87.65,casual,2020-12-28 00:15:00,2020-12-28
6B749CC9A6565620,electric_bike,2020/12/28 0:15,2020/12/28 0:27,,,,,41.86,-87.62,41.86,-87.67,casual,2020-12-28 00:15:00,2020-12-28
8076A23406D3C5F1,electric_bike,2020/12/28 0:20,2020/12/28 0:26,Broadway & Cornelia Ave,13278,Lake Shore Dr & Belmont Ave,TA1309000049,41.94556733,-87.646454,41.9408305,-87.639299,casual,2020-12-28 00:20:00,2020-12-28
B8946543FEB98F73,classic_bike,2020/12/28 0:24,2020/12/28 1:09,Wabash Ave & Adams St,KA1503000015,Millennium Park,13008,41.87947235,-87.62568861,41.8810317,-87.62408432,casual,2020-12-28 00:24:00,2020-12-28
D25ADBF62C48E1AC,electric_bike,2020/12/28 0:27,2020/12/28 0:33,Prairie Ave & 43rd St,KA1503000027,,,41.81665983,-87.61936717,41.82,-87.63,member,2020-12-28 00:27:00,2020-12-28
903361BD93A7264A,classic_bike,2020/12/28 0:28,2020/12/28 0:52,Clark St & Winnemac Ave,TA1309000035,2112 W Peterson Ave,KA1504000155,41.97334764,-87.66785547,41.991178,-87.683593,member,2020-12-28 00:28:00,2020-12-28
56A25544141DAF42,electric_bike,2020/12/28 0:30,2020/12/28 0:31,State St & 95th St,20104,State St & 95th St,20104,41.721643,-87.62277817,41.721612,-87.62290967,casual,2020-12-28 00:30:00,2020-12-28
435327932D59BCC7,electric_bike,2020/12/28 0:34,2020/12/28 0:58,,,,,41.72,-87.62,41.69,-87.65,casual,2020-12-28 00:34:00,2020-12-28
C80371785E27EE18,electric_bike,2020/12/28 0:36,2020/12/28 0:40,Sedgwick St & Huron St,TA1307000062,Dearborn St & Erie St,13045,41.89466067,-87.63823017,41.89409383,-87.62941667,member,2020-12-28 00:36:00,2020-12-28
16F8B85308BED087,classic_bike,2020/12/28 0:38,2020/12/28 0:58,California Ave & Byron St,15628,Clark St & Wellington Ave,TA1307000136,41.95216219,-87.69805111,41.93649682,-87.64753866,casual,2020-12-28 00:38:00,2020-12-28
6E3CF8435B0A1908,classic_bike,2020/12/28 0:38,2020/12/28 0:55,Wentworth Ave & Cermak Rd,13075,Michigan Ave & 18th St,13150,41.85308456,-87.6319313,41.857813,-87.62455,casual,2020-12-28 00:38:00,2020-12-28
01983E36D1548119,electric_bike,2020/12/28 0:39,2020/12/28 0:45,Wabash Ave & Grand Ave,TA1307000117,Wells St & Elm St,KA1504000135,41.89092983,-87.62677683,41.90309417,-87.63445967,member,2020-12-28 00:39:00,2020-12-28
3EEEE1DF58B5DA0A,electric_bike,2020/12/28 0:40,2020/12/28 1:18,Dearborn St & Erie St,13045,Wells St & Huron St,TA1306000012,41.894122,-87.62936983,41.89518933,-87.6344055,member,2020-12-28 00:40:00,2020-12-28
053588BEB12CE924,electric_bike,2020/12/28 0:49,2020/12/28 0:53,Clark St & Wrightwood Ave,TA1305000014,Racine Ave & Wrightwood Ave,TA1309000059,41.92961533,-87.64315,41.92887233,-87.65879383,member,2020-12-28 00:49:00,2020-12-28
E204A07550D70370,electric_bike,2020/12/28 0:53,2020/12/28 0:59,,,,,41.98,-87.66,41.97,-87.65,member,2020-12-28 00:53:00,2020-12-28
88648E8CFCDBF4B0,docked_bike,2020/12/28 0:56,2020/12/28 1:15,Dearborn St & Adams St,TA1305000005,LaSalle St & Adams St,KA1503000034,41.879356,-87.629791,41.879344,-87.631985,casual,2020-12-28 00:56:00,2020-12-28
46AA27AF4144F8AA,docked_bike,2020/12/28 0:56,2020/12/28 1:15,Dearborn St & Adams St,TA1305000005,LaSalle St & Adams St,KA1503000034,41.879356,-87.629791,41.879344,-87.631985,casual,2020-12-28 00:56:00,2020-12-28
203D4CE969CD9949,docked_bike,2020/12/28 0:56,2020/12/28 1:15,Dearborn St & Adams St,TA1305000005,LaSalle St & Adams St,KA1503000034,41.879356,-87.629791,41.879344,-87.631985,casual,2020-12-28 00:56:00,2020-12-28
8E91373AE219E2A5,classic_bike,2020/12/28 1:12,2020/12/28 1:19,Broadway & Cornelia Ave,13278,Clark St & Grace St,TA1307000127,41.945529,-87.646439,41.95078,-87.659172,casual,2020-12-28 01:12:00,2020-12-28
1C3331128A9F9B80,classic_bike,2020/12/28 1:14,2020/12/28 1:29,Wabash Ave & Roosevelt Rd,TA1305000002,Mies van der Rohe Way & Chicago Ave,13338,41.867227,-87.625961,41.89691,-87.621743,member,2020-12-28 01:14:00,2020-12-28
1637A8D2D6424044,classic_bike,2020/12/28 1:20,2020/12/28 1:38,Kedzie Ave & Milwaukee Ave,13085,Kedzie Ave & Milwaukee Ave,13085,41.929567,-87.707857,41.929567,-87.707857,casual,2020-12-28 01:20:00,2020-12-28
434087BF22EB632C,classic_bike,2020/12/28 1:22,2020/12/28 1:31,Wells St & 19th St,SL-006,Federal St & Polk St,SL-008,41.856802,-87.633879,41.87207763,-87.62954377,casual,2020-12-28 01:22:00,2020-12-28
7F8D4FB75566D1D1,docked_bike,2020/12/28 1:40,2020/12/28 1:51,Clark St & North Ave,13128,Rush St & Superior St,15530,41.911974,-87.631942,41.895765,-87.625908,casual,2020-12-28 01:40:00,2020-12-28
20E00CAD5CA38124,electric_bike,2020/12/28 1:56,2020/12/28 2:00,Sedgwick St & North Ave,TA1307000038,Clark St & Elm St,TA1307000039,41.91140783,-87.63877033,41.90302667,-87.63128483,casual,2020-12-28 01:56:00,2020-12-28
2D090A3315147DA6,electric_bike,2020/12/28 2:00,2020/12/28 2:06,Clinton St & Jackson Blvd,638,Michigan Ave & Lake St,TA1305000011,41.87820683,-87.6403995,41.8864025,-87.62507633,member,2020-12-28 02:00:00,2020-12-28
60453EA96A5D04DC,classic_bike,2020/12/28 2:05,2020/12/28 2:10,St. Clair St & Erie St,13016,Sedgwick St & Huron St,TA1307000062,41.89434514,-87.62279838,41.894666,-87.638437,member,2020-12-28 02:05:00,2020-12-28
3F869FBE142A402E,classic_bike,2020/12/28 2:08,2020/12/28 2:15,Halsted St & Wrightwood Ave,TA1309000061,Greenview Ave & Diversey Pkwy,13294,41.929143,-87.649077,41.93258963,-87.66593635,member,2020-12-28 02:08:00,2020-12-28
